run_id,area_size_m,n_drones,victim_x_m,victim_y_m,victim_depth_m,artva_noise_std,comm_radius_m,found,time_found_s,n_drones_stopped,pos_variance_m2,pos_std_m,est_error_2d_m,note
43,100,2,50.0,50.0,1.0,1e-07,80,False,900.0,2,0.019222609548205923,0.138645625781003,0.10747241833291334,vittima non trovata entro 15 minuti (n_drones=2 < soglia=3)
45,100,2,50.0,50.0,1.0,5e-07,25,False,900.0,2,0.019660055209403164,0.140214318845841,0.12065161185808368,vittima non trovata entro 15 minuti (n_drones=2 < soglia=3)
46,100,2,50.0,50.0,1.0,5e-07,50,False,900.0,2,0.020610565129199676,0.1435638015977554,0.06388573870214986,vittima non trovata entro 15 minuti (n_drones=2 < soglia=3)
48,100,2,50.0,50.0,1.0,5e-07,120,False,900.0,2,0.020610565129199676,0.1435638015977554,0.06388573870214986,vittima non trovata entro 15 minuti (n_drones=2 < soglia=3)
47,100,2,50.0,50.0,1.0,5e-07,80,False,900.0,2,0.020610565129199676,0.1435638015977554,0.06388573870214986,vittima non trovata entro 15 minuti (n_drones=2 < soglia=3)
49,100,2,50.0,50.0,3.0,1e-08,25,False,900.0,2,0.022187696778200504,0.1489553516265881,0.3461968576234355,vittima non trovata entro 15 minuti (n_drones=2 < soglia=3)
50,100,2,50.0,50.0,3.0,1e-08,50,False,900.0,2,0.020552192391572785,0.14336035850810636,0.42092977563598016,vittima non trovata entro 15 minuti (n_drones=2 < soglia=3)
51,100,2,50.0,50.0,3.0,1e-08,80,False,900.0,2,0.020552192391572785,0.14336035850810636,0.42092977563598016,vittima non trovata entro 15 minuti (n_drones=2 < soglia=3)
53,100,2,50.0,50.0,3.0,1e-07,25,False,900.0,2,0.022186983630206287,0.14895295777595788,0.42508127229189,vittima non trovata entro 15 minuti (n_drones=2 < soglia=3)
52,100,2,50.0,50.0,3.0,1e-08,120,False,900.0,2,0.020552192391572785,0.14336035850810636,0.42092977563598016,vittima non trovata entro 15 minuti (n_drones=2 < soglia=3)
54,100,2,50.0,50.0,3.0,1e-07,50,False,900.0,2,0.020614810618868683,0.14357858690929048,0.460574127824586,vittima non trovata entro 15 minuti (n_drones=2 < soglia=3)
55,100,2,50.0,50.0,3.0,1e-07,80,False,900.0,2,0.020614810618868683,0.14357858690929048,0.460574127824586,vittima non trovata entro 15 minuti (n_drones=2 < soglia=3)
56,100,2,50.0,50.0,3.0,1e-07,120,False,900.0,2,0.020614810618868683,0.14357858690929048,0.460574127824586,vittima non trovata entro 15 minuti (n_drones=2 < soglia=3)
57,100,2,50.0,50.0,3.0,5e-07,25,False,900.0,2,0.004580574873532353,0.06767994439664052,0.5652513136765472,vittima non trovata entro 15 minuti (n_drones=2 < soglia=3)
58,100,2,50.0,50.0,3.0,5e-07,50,False,900.0,2,0.02058423987476099,0.1434720874412894,0.4479755167786963,vittima non trovata entro 15 minuti (n_drones=2 < soglia=3)
60,100,2,50.0,50.0,3.0,5e-07,120,False,900.0,2,0.02058423987476099,0.1434720874412894,0.4479755167786963,vittima non trovata entro 15 minuti (n_drones=2 < soglia=3)
59,100,2,50.0,50.0,3.0,5e-07,80,False,900.0,2,0.02058423987476099,0.1434720874412894,0.4479755167786963,vittima non trovata entro 15 minuti (n_drones=2 < soglia=3)
61,100,2,50.0,50.0,5.0,1e-08,25,False,900.0,2,0.01938899525394852,0.1392443724318815,1.1323566365671733,vittima non trovata entro 15 minuti (n_drones=2 < soglia=3)
