run_id,area_size_m,n_drones,victim_x_m,victim_y_m,victim_dist_m,victim_depth_m,artva_noise_std,acc_sim_ms2,comm_radius_m,workspace_frac_r,workspace_frac_c,found,time_found_s,n_drones_stopped,pos_variance_m2,pos_std_m,est_error_2d_m,note
151,200,3,148.6,129.2,189.9,2.09,1e-07,0.2,80,center,center,False,900.0,2,2.692645223154387e-28,1.6409281590473078e-14,3.1552908903734935,vittima non trovata entro 15 minuti
211,200,3,29.7,55.3,56.1,1.03,1e-05,0.05,80,center,center,True,79.2,3,0.002030728225666584,0.04506360200501713,2.3087521736861367,
207,200,3,80.7,116.9,135.1,2.11,1e-05,0.05,50,0.35,0.40,True,128.9,3,0.00031513769621863944,0.017752118076968717,2.203634688071716,
159,200,3,150.9,138.6,197.8,2.43,1e-07,0.2,120,0.60,0.45,False,900.0,0,0.0,0.0,70.88719028993322,vittima non trovata entro 15 minuti
157,200,3,79.5,63.4,94.6,1.63,1e-07,0.2,120,0.35,0.40,False,900.0,2,2.524354896707238e-29,5.0242958677880805e-15,0.49848031898783796,vittima non trovata entro 15 minuti
154,200,3,93.9,71.7,111.1,2.12,1e-07,0.2,80,0.60,0.45,False,900.0,0,0.0,0.0,6.440722351786094,vittima non trovata entro 15 minuti
204,200,3,107.2,42.9,109.1,2.57,1e-05,0.05,25,0.60,0.45,True,202.8,3,0.010306232935740896,0.10151961847712439,3.717091060974475,
165,200,3,120.1,24.7,116.8,4.65,1e-06,0.05,25,0.60,0.58,False,900.0,1,0.15088415120407864,0.3884380918551612,0.8367702617372339,vittima non trovata entro 15 minuti
208,200,3,149.6,114.9,181.6,4.53,1e-05,0.05,50,0.45,0.55,True,185.70000000000002,3,0.0028014285279886635,0.052928522820768986,0.38985062351429733,
162,200,3,109.2,26.7,106.4,4.05,1e-06,0.05,25,0.35,0.40,False,900.0,1,2.145701662201152e-28,1.464821375527116e-14,0.966544847399396,vittima non trovata entro 15 minuti
212,200,3,110.3,151.2,180.2,2.38,1e-05,0.05,80,0.35,0.40,True,134.0,3,0.0005975073785353303,0.02444396405117898,2.0771094911320915,
213,200,3,51.9,150.2,152.6,2.96,1e-05,0.05,80,0.45,0.55,True,127.30000000000001,3,0.0023433794362588186,0.04840846451044299,2.123055886987489,
206,200,3,90.3,56.4,99.6,2.43,1e-05,0.05,50,center,center,True,240.20000000000002,3,0.0048766868933178605,0.06983327926796694,4.494802494840218,
216,200,3,63.0,115.6,124.9,1.32,1e-05,0.05,120,center,center,True,124.0,3,0.003534787798186105,0.05945408142580377,1.5497638386388848,
205,200,3,120.0,94.4,145.7,3.15,1e-05,0.05,25,0.60,0.58,True,271.90000000000003,3,0.0017719339989964342,0.042094346401820214,0.9403812986476321,
217,200,3,33.2,140.4,138.3,4.49,1e-05,0.05,120,0.35,0.40,True,137.3,3,0.0019008643740886688,0.04359890335878494,1.3998483377135202,
219,200,3,72.8,170.7,179.1,2.79,1e-05,0.05,120,0.60,0.45,True,129.70000000000002,3,0.0030127061426115263,0.05488812387585794,1.1055015511721167,
220,200,3,101.2,79.2,121.4,3.25,1e-05,0.05,120,0.60,0.58,True,138.6,3,0.019192315912350717,0.13853633426776787,1.0204919229560934,
203,200,3,155.7,161.9,217.6,1.43,1e-05,0.05,25,0.45,0.55,True,373.0,3,0.0015612595187985611,0.039512776652603915,4.506009651245954,
185,200,3,93.0,89.7,122.1,2.21,1e-06,0.2,25,0.60,0.58,False,900.0,1,1.2691927309304605,1.1265845422916385,2.471514907021623,vittima non trovata entro 15 minuti
218,200,3,134.9,128.2,179.0,4.59,1e-05,0.05,120,0.45,0.55,True,181.20000000000002,3,0.0012967084141797534,0.03600983774164712,1.7784900666039678,
171,200,3,31.3,99.1,97.8,2.74,1e-06,0.05,80,center,center,True,858.2,3,0.0016154565878812312,0.04019274297533364,3.092342828667117,
209,200,3,37.0,109.0,108.8,4.92,1e-05,0.05,50,0.60,0.45,False,312.40000000000003,3,211.4846370295675,14.542511372853298,22.19951513206364,vittima non trovata entro 15 minuti
234,200,3,80.7,91.5,114.9,4.67,1e-05,0.2,80,0.60,0.45,True,138.1,3,0.0025722652942150874,0.05071750481061827,3.8059313485719555,
236,200,3,33.9,118.0,116.6,1.33,1e-05,0.2,120,center,center,True,109.5,3,0.005650621269841937,0.07517061440378106,0.5428804537246771,
184,200,3,61.0,129.9,136.9,2.32,1e-06,0.2,25,0.60,0.45,False,900.0,2,2.2473187416875016,1.4991059808057272,0.9891591141676014,vittima non trovata entro 15 minuti
181,200,3,42.7,79.3,83.4,3.31,1e-06,0.2,25,center,center,False,900.0,0,31.240347045851315,5.589306490598929,4.641697503945276,vittima non trovata entro 15 minuti
183,200,3,23.8,117.6,114.2,3.65,1e-06,0.2,25,0.45,0.55,False,900.0,0,949.3907717011032,30.81218544181998,61.93872541651258,vittima non trovata entro 15 minuti
187,200,3,158.2,145.8,208.1,4.14,1e-06,0.2,50,0.35,0.40,False,900.0,0,0.0,0.0,27.442331355921635,vittima non trovata entro 15 minuti
237,200,3,46.1,86.4,91.2,4.98,1e-05,0.2,120,0.35,0.40,True,127.2,3,0.02413495684199987,0.15535429457211625,0.6144016244965036,
238,200,3,28.0,139.5,136.5,4.66,1e-05,0.2,120,0.45,0.55,True,113.60000000000001,3,0.015872958395945987,0.1259879295644864,1.8100506090101358,
192,200,3,132.7,117.9,170.5,4.45,1e-06,0.2,80,0.35,0.40,False,900.0,0,4.712129140520177e-28,2.1707439140811097e-14,5.865101444348195,vittima non trovata entro 15 minuti
193,200,3,91.5,117.9,142.3,2.45,1e-06,0.2,80,0.45,0.55,False,900.0,2,4.712129140520177e-28,2.1707439140811097e-14,2.241151407665982,vittima non trovata entro 15 minuti
195,200,3,120.4,159.1,192.5,4.39,1e-06,0.2,80,0.60,0.58,False,900.0,0,5.385290446308774e-28,2.320622857404618e-14,0.8336011210440378,vittima non trovata entro 15 minuti
197,200,3,167.6,73.1,176.3,1.75,1e-06,0.2,120,0.35,0.40,False,900.0,0,1.0097419586828951e-27,3.1776437161565096e-14,20.544848870129098,vittima non trovata entro 15 minuti
199,200,3,79.6,143.6,157.4,1.78,1e-06,0.2,120,0.60,0.45,False,900.0,2,2.0194839173657902e-28,1.4210854715202004e-14,1.0726280426262798,vittima non trovata entro 15 minuti
196,200,3,164.0,156.1,219.4,1.33,1e-06,0.2,120,center,center,False,900.0,0,2.692645223154387e-28,1.6409281590473078e-14,3.6692903238795487,vittima non trovata entro 15 minuti
244,200,3,54.7,152.5,155.7,4.15,1e-07,0.05,25,0.60,0.45,True,157.9,3,0.003604029872369634,0.06003357287692974,0.21861947635168447,
198,200,3,165.8,93.5,183.6,1.33,1e-06,0.2,120,0.45,0.55,False,900.0,0,2.0194839173657902e-28,1.4210854715202004e-14,8.209642653815232,vittima non trovata entro 15 minuti
200,200,3,22.1,71.2,68.4,3.6,1e-06,0.2,120,0.60,0.58,False,900.0,2,1335.0822379352367,36.53877718171801,25.006695853094442,vittima non trovata entro 15 minuti
