run_id,area_size_m,n_drones,victim_x_m,victim_y_m,victim_dist_m,victim_depth_m,artva_noise_std,comm_radius_m,workspace_frac_r,workspace_frac_c,found,time_found_s,n_drones_stopped,pos_variance_m2,pos_std_m,est_error_2d_m,note
2915,200,4,92.2,138.2,159.1,4.44,1e-06,80,0.60,0.58,True,138.0,3,0.004601413788036992,0.06783372161423101,0.22807094729452976,
2916,200,4,87.1,82.8,113.1,4.89,1e-06,120,center,center,True,123.60000000000001,3,0.018495978622044166,0.13599992140455142,2.8764330865250534,
2918,200,4,53.1,125.3,129.6,1.5,1e-06,120,0.45,0.55,True,123.4,3,0.005182474876967758,0.07198940808874427,0.21884955689215638,
2903,200,4,111.7,59.4,119.7,3.82,1e-06,25,0.45,0.55,True,225.20000000000002,3,0.0028590140103812436,0.053469748553562915,0.20326670790124232,
2901,200,4,108.2,88.2,132.6,4.77,1e-06,25,center,center,True,240.3,3,0.011824668710751593,0.10874129257440153,0.06801773863709114,
2920,200,4,95.2,127.1,151.8,3.98,1e-06,120,0.60,0.58,True,137.20000000000002,3,0.006146395267067597,0.07839894940027957,0.08454338130248094,
2905,200,4,137.8,141.3,190.3,1.3,1e-06,25,0.60,0.58,True,230.20000000000002,3,0.007356395068208092,0.08576942968335567,0.317413244706126,
2929,200,4,79.4,63.7,94.8,4.5,1e-05,50,0.60,0.45,True,97.80000000000001,3,0.014315707680414581,0.11964826651654666,3.4302398148032007,
2927,200,4,104.0,55.0,110.9,1.02,1e-05,50,0.35,0.40,True,149.4,3,0.001376937750769175,0.037107111862406846,0.6180846643449565,
2928,200,4,94.2,121.5,146.8,2.3,1e-05,50,0.45,0.55,True,118.5,3,0.005560403138658155,0.07456811073547562,0.9006922420629163,
2931,200,4,30.1,123.8,121.4,3.37,1e-05,80,center,center,True,113.10000000000001,3,0.005876753250102319,0.07665998467324606,2.8547577187594855,
2919,200,4,163.8,156.8,219.7,1.76,1e-06,120,0.60,0.45,True,202.9,3,0.0008885966148552318,0.02980933771245567,7.117345031447575,
2934,200,4,69.3,154.1,162.3,2.3,1e-05,80,0.60,0.45,True,115.7,3,0.009495052127104782,0.0974425580899064,0.3069778604735637,
2935,200,4,112.1,122.5,159.1,3.31,1e-05,80,0.60,0.58,True,131.3,3,0.00493681155601202,0.07026244769442651,4.0776442219556115,
2932,200,4,103.3,26.2,100.6,1.2,1e-05,80,0.35,0.40,True,163.5,3,0.0007329496636080832,0.027073043116873346,0.7927537358911348,
2936,200,4,51.4,160.4,162.2,4.1,1e-05,120,center,center,True,141.70000000000002,3,0.00205246777087617,0.045304169464588685,3.634734068684629,
2944,200,4,25.3,70.9,69.0,4.39,1e-07,25,0.60,0.45,True,103.10000000000001,3,0.0029896362736855035,0.054677566457236405,1.6255199188116087,
