run_id,area_size_m,n_drones,victim_x_m,victim_y_m,victim_dist_m,victim_depth_m,artva_noise_std,comm_radius_m,workspace_frac_r,workspace_frac_c,found,time_found_s,n_drones_stopped,pos_variance_m2,pos_std_m,est_error_2d_m,note
41,100,3,18.9,33.7,31.9,3.87,1e-05,25,center,center,True,91.9,3,0.003406136058154839,0.05836211149500024,3.5490157942732794,
43,100,3,56.1,28.8,56.3,3.11,1e-05,25,0.45,0.55,True,89.60000000000001,3,0.003345442048338854,0.05783979640644367,0.00519921571818964,
60,100,3,29.1,52.1,52.9,4.46,1e-05,120,0.60,0.58,True,63.800000000000004,3,0.0015564939139828282,0.03945242595814392,0.1190443397787682,
56,100,3,47.1,21.4,45.2,1.22,1e-05,120,center,center,True,65.2,3,0.004850624376887077,0.06964642400645618,0.1665355507281799,
47,100,3,79.4,45.1,84.5,4.08,1e-05,50,0.35,0.40,True,91.60000000000001,3,0.002740552634772072,0.05235028781938139,1.4984092172920342,
44,100,3,66.3,80.2,97.0,4.53,1e-05,25,0.60,0.45,True,91.7,3,0.006000553645097875,0.07746324060545023,0.07563606125959577,
72,100,3,24.0,25.2,27.8,2.59,1e-07,80,0.35,0.40,True,42.2,3,0.00407083288617684,0.06380307897097788,0.08383532153405857,
51,100,3,22.2,36.2,35.6,3.63,1e-05,80,center,center,True,100.9,3,0.0025291031991424478,0.050290189889703615,4.617494647435845,
45,100,3,52.1,42.9,60.4,4.9,1e-05,25,0.60,0.58,True,107.10000000000001,3,0.005461434677074755,0.07390152012695514,0.1394038970730077,
67,100,3,47.5,12.7,43.2,3.66,1e-07,50,0.35,0.40,True,68.8,3,0.0015283969982080833,0.039094718290430014,0.3658414744165962,
63,100,3,47.1,42.4,56.3,1.24,1e-07,25,0.45,0.55,True,91.0,3,0.004205596387143251,0.06485056967477812,0.10581125933635561,
64,100,3,61.8,49.1,71.9,3.28,1e-07,25,0.60,0.45,True,94.5,3,0.004373768092586471,0.06613446977625564,0.20204622530401517,
81,100,3,26.8,31.6,34.4,4.61,1e-06,25,center,center,True,52.1,3,0.0033272643704471533,0.057682444213531324,3.328089837033646,
68,100,3,13.4,65.1,60.7,4.0,1e-07,50,0.45,0.55,True,94.0,3,0.004559419939468589,0.06752347695038066,0.9513125482897472,
66,100,3,45.6,66.5,73.6,4.29,1e-07,50,center,center,True,110.30000000000001,3,0.0039812658969051225,0.0630972732921568,0.4450351869940005,
77,100,3,26.5,35.2,37.1,4.45,1e-07,120,0.35,0.40,True,67.4,3,0.004683566663348753,0.06843658863026965,0.06549636213990576,
61,100,3,65.9,59.7,81.9,1.77,1e-07,25,center,center,True,116.80000000000001,3,0.0035305861760566125,0.0594187359008639,0.36675263565085553,
65,100,3,65.1,34.0,66.7,1.0,1e-07,25,0.60,0.58,True,108.30000000000001,3,0.004719257454106913,0.06869685185004414,0.09368681647102492,
90,100,3,15.3,22.7,20.5,2.59,1e-06,50,0.60,0.58,True,39.900000000000006,3,0.003765260754421042,0.06136172059534382,0.47264097472408295,
73,100,3,64.4,33.2,65.8,1.03,1e-07,80,0.45,0.55,True,84.30000000000001,3,0.0031315173489801134,0.05595996201732193,0.6784223134179199,
84,100,3,9.6,34.6,30.0,2.35,1e-06,25,0.60,0.45,True,68.4,3,0.005394956339160229,0.07345036650119745,1.7559180682261446,
69,100,3,73.0,36.3,74.8,1.1,1e-07,50,0.60,0.45,True,99.5,3,0.004947122470806732,0.07033578371502469,0.09832322439918441,
71,100,3,43.8,40.7,52.7,2.05,1e-07,80,center,center,True,99.80000000000001,3,0.002682079449217722,0.0517887965608173,0.47119045064747,
74,100,3,41.1,41.0,51.0,3.79,1e-07,80,0.60,0.45,True,89.2,3,0.00400976579865143,0.06332271155479233,0.7252752327824545,
87,100,3,56.2,60.3,75.4,2.85,1e-06,50,0.35,0.40,True,74.9,3,0.002483571854743792,0.049835447773084095,1.1662416932634296,
75,100,3,30.1,68.4,68.2,4.66,1e-07,80,0.60,0.58,True,90.4,3,0.0030937681309554537,0.055621651638147654,0.20785258172460366,
89,100,3,71.5,13.6,67.0,4.86,1e-06,50,0.60,0.45,False,71.4,3,0.022359196967398614,0.14952991997389223,11.179053328178217,vittima non trovata entro 15 minuti
76,100,3,63.2,56.2,77.5,1.26,1e-07,120,center,center,True,98.60000000000001,3,0.0023402866529774876,0.04837650930955527,0.26486185876208734,
79,100,3,61.8,32.2,63.0,2.51,1e-07,120,0.60,0.45,True,84.2,3,0.0028655427243007704,0.05353076427906452,1.9303876781207971,
78,100,3,27.3,74.6,73.0,3.51,1e-07,120,0.45,0.55,True,93.0,3,0.004383496361939824,0.06620797808376136,0.941515514260736,
88,100,3,74.3,39.8,77.5,4.91,1e-06,50,0.45,0.55,True,84.7,3,0.0037548157234756196,0.06127655117151764,0.22715049629808526,
83,100,3,80.6,47.0,86.4,1.37,1e-06,25,0.45,0.55,True,89.60000000000001,3,0.0023854353696961214,0.04884091900953668,0.41052807677040226,
80,100,3,51.7,49.5,64.5,2.88,1e-07,120,0.60,0.58,True,94.60000000000001,3,0.00430314524048581,0.06559836309303617,0.15788127877132554,
95,100,3,50.7,31.5,52.8,4.08,1e-06,80,0.60,0.58,True,55.300000000000004,3,0.010617431635532748,0.10304092214034552,0.3215756510150062,
85,100,3,74.6,16.5,70.5,1.06,1e-06,25,0.60,0.58,True,90.5,3,0.0006849241525623793,0.026171055625678903,0.347554275178826,
92,100,3,54.8,66.3,79.0,2.33,1e-06,80,0.35,0.40,True,81.0,3,0.004081791722278024,0.06388890140140167,0.12120840321659022,
86,100,3,70.6,65.7,89.4,2.12,1e-06,50,center,center,True,99.0,3,0.005220327064336894,0.07225183087186714,0.11439509856193865,
91,100,3,75.2,69.2,95.2,3.07,1e-06,80,center,center,True,93.9,3,0.003853746443434267,0.06207855059063692,0.004491189769100476,
82,100,3,71.6,49.6,80.1,3.29,1e-06,25,0.35,0.40,True,105.80000000000001,3,0.003446141175258247,0.05870384293432796,1.5671096395835704,
102,100,3,11.2,32.8,28.5,4.09,1e-05,25,0.35,0.40,True,46.6,3,0.005176263255131007,0.07194625254404156,0.18680019440989903,
93,100,3,71.1,60.1,86.0,2.09,1e-06,80,0.45,0.55,True,93.9,3,0.005879073318195972,0.07667511537778063,0.024614224728699608,
98,100,3,18.6,47.8,44.9,2.1,1e-06,120,0.45,0.55,True,57.2,3,0.018277634133780966,0.13519480069063664,0.9404467896076263,
97,100,3,35.1,42.7,48.3,3.09,1e-06,120,0.35,0.40,True,63.900000000000006,3,0.004344943434102651,0.06591618491768657,0.11004099633152373,
99,100,3,14.2,39.9,36.1,1.62,1e-06,120,0.60,0.45,True,56.6,3,0.001919345258023812,0.04381033277691248,2.757071252563972,
100,100,3,71.7,23.1,69.1,3.45,1e-06,120,0.60,0.58,True,68.2,3,0.0012839271549885168,0.03583192926690547,0.1428903425166444,
94,100,3,67.8,44.0,74.0,1.87,1e-06,80,0.60,0.45,True,88.0,3,0.0011240374348724276,0.03352666751814781,0.0804500266645032,
105,100,3,57.6,45.9,66.6,1.64,1e-05,25,0.60,0.58,True,56.900000000000006,3,0.005516214036824772,0.07427121943811595,0.11158890125076847,
109,100,3,37.3,38.2,46.3,3.14,1e-05,50,0.60,0.45,True,55.800000000000004,3,0.001714961109976421,0.04141208893519405,5.210292707434125,
96,100,3,74.4,63.2,90.6,4.06,1e-06,120,center,center,True,93.0,3,0.0034138661835368808,0.05842829950920085,0.2197666674327693,
113,100,3,41.9,24.5,41.8,2.89,1e-05,80,0.45,0.55,True,55.1,3,0.00458419669630645,0.06770669609651951,0.11886730669940017,
108,100,3,61.4,14.8,57.3,4.36,1e-05,50,0.45,0.55,True,68.8,3,0.0006437344603556882,0.025371922677552214,0.27034397461757903,
101,100,3,18.6,71.1,67.5,1.09,1e-05,25,center,center,True,79.4,3,0.002095672826498478,0.04577851926939619,1.4351608475127682,
119,100,3,16.0,43.4,40.0,3.95,1e-05,120,0.60,0.45,True,49.300000000000004,3,0.0005046707201481115,0.02246487747903628,2.1625527163146385,
115,100,3,74.8,26.5,73.0,3.77,1e-05,80,0.60,0.58,True,64.5,3,0.003759801976928912,0.061317224145658385,0.14496014808279198,
118,100,3,17.7,69.1,65.4,1.43,1e-05,120,0.45,0.55,True,56.1,3,0.006195994908752775,0.07871464227672495,0.8950634283361919,
120,100,3,44.7,21.6,43.0,1.32,1e-05,120,0.60,0.58,True,54.7,3,0.004543708502480764,0.06740703600130156,1.2601808710017626,
111,100,3,43.8,80.2,84.6,4.38,1e-05,80,center,center,True,70.2,3,0.004932402742071874,0.07023106678722654,4.051186677526986,
104,100,3,77.3,64.9,93.9,2.23,1e-05,25,0.60,0.45,True,80.80000000000001,3,0.004455916062707617,0.06675264835725708,0.04059552612695665,
103,100,3,46.1,69.3,76.3,3.3,1e-05,25,0.45,0.55,True,90.4,3,0.0016531190678386854,0.04065856696735247,0.25738955453113255,
106,100,3,55.6,50.7,68.2,2.88,1e-05,50,center,center,True,86.60000000000001,3,0.00184390383694385,0.04294070140256037,0.06939241418511713,
114,100,3,76.3,24.5,73.9,3.58,1e-05,80,0.60,0.45,True,75.10000000000001,3,0.0032283571160940895,0.05681863352892332,2.839658498783745,
117,100,3,74.1,26.9,72.5,2.74,1e-05,120,0.35,0.40,True,67.2,3,0.02935921758842477,0.17134531679746828,2.3065198426690894,
112,100,3,78.8,31.8,78.5,3.98,1e-05,80,0.35,0.40,True,85.30000000000001,3,0.0025986652510613818,0.05097710516556802,2.1963132174950766,
110,100,3,75.0,80.2,102.7,1.28,1e-05,50,0.60,0.58,True,90.4,3,0.0026850018878931273,0.051817003849056416,0.19991957028111512,
24,100,3,72.3,71.5,94.6,3.94,1e-06,25,0.60,0.45,True,314.5,3,0.001632653049685412,0.04040610163929963,0.1187481944660708,
136,100,3,22.4,21.8,24.2,3.54,1e-07,120,center,center,True,30.0,3,0.0036540114376473394,0.06044841964557336,1.9347241846186516,
140,100,3,14.5,28.0,24.9,3.32,1e-07,120,0.60,0.58,True,26.1,3,0.0037476442579848367,0.06121800599484466,1.1247346461953742,
121,100,3,39.7,24.3,39.7,1.21,1e-07,25,center,center,True,70.2,3,0.00365901565012887,0.060489797901207024,0.3028830351294702,
116,100,3,57.0,26.3,56.1,4.55,1e-05,120,center,center,True,108.5,3,0.005265901555701448,0.07256653192554711,0.16690719194864223,
124,100,3,19.0,49.6,46.8,4.51,1e-07,25,0.60,0.45,True,75.4,3,0.002427349037370076,0.04926813409669658,0.8523295857354922,
130,100,3,21.1,39.3,37.9,2.67,1e-07,50,0.60,0.58,True,66.8,3,0.0037585445186201745,0.06130696957622497,0.42488280473854545,
