run_id,area_size_m,n_drones,victim_x_m,victim_y_m,victim_dist_m,victim_depth_m,artva_noise_std,acc_sim_ms2,comm_radius_m,workspace_frac_r,workspace_frac_c,found,time_found_s,n_drones_stopped,n_drones_tracked,pos_variance_m2,pos_std_m,est_error_2d_m,est_error_3d_m,est_depth_m,est_error_depth_m,dcgd_err_final_mean_m,landing_err_mean_m,pf_std_xy_mean_m,note
3071,100,5,36.9,88.3,89.2,2.56,1e-06,0.1,80,center,center,True,108.5,3,5,0.05517538010304117,0.23489440202576384,1.3948033660239794,1.432006729379829,1.911,0.645,1.397,2.744,1.879,
3066,100,5,72.7,24.9,70.6,3.9,1e-06,0.1,50,center,center,True,122.80000000000001,3,5,7.401961087502604,2.72065453292082,2.1551198057334884,2.6788005860396504,1.187,2.715,2.75,11.578,2.322,
3069,100,5,84.3,95.7,120.5,3.42,1e-06,0.1,50,0.60,0.45,True,135.9,3,5,0.08550546359841324,0.29241317275118306,1.555207130060303,3.07875922702433,6.079,2.657,1.557,5.632,1.92,
3084,100,5,57.2,1.9,52.3,2.63,1e-05,0.05,25,0.60,0.45,True,86.0,3,2,6.917922222165535,2.6301943316351237,3.7028318864223086,3.97893426919954,2.404,0.226,4.104,3.468,2.624,
3076,100,5,87.9,9.9,83.0,3.66,1e-06,0.1,120,center,center,True,119.0,3,5,0.0037509048707241584,0.0612446313624644,3.1165121549735293,9.222006418217516,-7.127,10.791,3.117,6.215,1.884,
3073,100,5,68.7,66.2,88.3,2.71,1e-06,0.1,80,0.45,0.55,True,121.80000000000001,3,5,0.04618769131609861,0.21491321810465408,1.3144629036987747,3.320164212334266,5.901,3.189,1.317,1.082,1.886,
3074,100,5,15.0,67.4,63.2,3.92,1e-06,0.1,80,0.60,0.45,True,99.9,3,5,0.05338662671039643,0.2310554624119422,4.1013952055609595,12.052569691420526,-9.111,13.028,4.104,1.094,1.963,
3082,100,5,35.5,63.5,66.0,4.91,1e-05,0.05,25,0.35,0.40,True,85.2,3,5,3.1878529034578165,1.785455937137015,0.9916810750476712,4.380093148122316,0.278,4.627,1.541,4.236,2.338,
3083,100,5,77.7,53.5,87.4,2.45,1e-05,0.05,25,0.45,0.55,True,104.30000000000001,3,5,41.94580063593499,6.4765577767773355,3.230316148372945,3.85077760702288,3.098,0.65,3.524,14.665,1.978,
3075,100,5,33.9,52.9,55.9,4.45,1e-06,0.1,80,0.60,0.58,True,93.0,3,5,0.01991025276558039,0.14110369508124296,0.4254916257770577,4.376765526409745,0.229,4.221,0.443,0.329,1.823,
