run_id,area_size_m,n_drones,victim_x_m,victim_y_m,victim_dist_m,victim_depth_m,artva_noise_std,acc_sim_ms2,comm_radius_m,workspace_frac_r,workspace_frac_c,found,time_found_s,n_drones_stopped,n_drones_tracked,pos_variance_m2,pos_std_m,est_error_2d_m,est_error_3d_m,est_depth_m,est_error_depth_m,dcgd_err_final_mean_m,landing_err_mean_m,pf_std_xy_mean_m,pf_ellipse_area_mean_m2,pf_iou_mean,note
6311,100,4,49.4,48.5,62.2,3.2,1e-07,0.05,25,0.45,0.55,True,121.80000000000001,4,4,0.03363926143157438,0.1834100908662726,0.969312908163888,1.662873250908628,1.475,1.727,0.972,0.972,1.759,28.419,0.8453,
6312,100,4,10.3,19.6,15.5,3.0,1e-07,0.05,25,0.60,0.45,True,38.900000000000006,4,4,1.2469906540461275,1.1166873573414036,0.6107606098106007,1.769470263955002,4.698,1.694,1.098,1.098,1.761,28.593,0.5403,
6313,100,4,56.1,52.3,69.6,4.67,1e-07,0.05,25,0.35,0.40,True,143.20000000000002,4,4,0.01341639781699339,0.11582917515459303,0.08631054019841403,0.1617109723397514,4.836,0.163,0.122,0.122,1.739,27.766,0.8848,
6314,100,4,28.8,50.3,51.2,1.57,1e-07,0.05,25,0.45,0.55,True,131.3,4,4,0.017875166603438877,0.1336980426312924,0.1436005318268554,0.21163295526954592,1.384,0.185,0.179,0.179,1.738,27.187,0.8656,
6315,100,4,87.2,84.5,114.4,3.02,1e-07,0.05,25,0.45,0.55,True,142.6,4,4,0.011663236222351775,0.10799646393448155,0.24236074621805706,0.5863605634592934,3.499,0.481,0.252,0.252,1.643,24.988,0.891,
6316,100,4,63.9,21.0,61.0,2.38,1e-07,0.05,25,0.45,0.55,True,135.5,4,4,0.01596732726826663,0.126361890094548,0.18368905390089663,0.9907246280675613,1.374,1.009,0.222,0.222,1.754,27.839,0.8471,
6317,100,4,56.7,10.3,52.0,1.99,1e-07,0.05,25,0.45,0.55,True,142.5,4,4,0.04993236775944063,0.22345551628778518,0.21601248456329106,0.6405691387610462,2.531,0.538,0.309,0.309,1.721,27.133,0.8201,
6318,100,4,6.0,81.0,76.0,3.54,1e-07,0.05,25,0.60,0.45,True,147.3,4,4,0.024158751116946712,0.15543085638619736,0.11015641657273274,0.14333516897824716,3.698,0.159,0.162,0.162,1.727,27.495,0.904,
6319,100,4,19.4,89.9,86.1,4.89,1e-07,0.05,25,0.45,0.55,True,160.9,4,4,0.03838509604171671,0.19592114751020806,0.5646737404671491,0.6230124890365384,4.502,0.39,0.584,0.584,1.844,30.449,0.8586,
6320,100,4,97.7,67.2,111.6,4.23,1e-07,0.05,25,0.45,0.55,True,160.4,4,4,0.026390732281031854,0.16245224615569911,0.2267416395235456,0.6584845433209925,4.829,0.597,0.242,0.242,1.69,26.134,0.8451,
6321,100,4,21.5,38.0,36.9,2.11,1e-07,0.05,25,0.60,0.58,True,90.80000000000001,4,4,0.020079412431309392,0.14170184342946776,0.17778421439540162,0.23108592418431897,2.309,0.202,0.199,0.199,1.736,27.52,0.886,
6322,100,4,51.9,99.4,105.4,3.88,1e-07,0.05,25,0.60,0.45,True,141.9,4,4,0.07033194249959718,0.26520170153978495,0.37238496055318465,0.400098511695111,3.877,0.007,0.434,0.434,1.755,28.054,0.8289,
6323,100,4,30.2,14.4,26.9,1.61,1e-07,0.05,60,center,center,True,72.8,4,4,0.04642800846017478,0.21547159548342973,0.10799904220662203,2.1511829711630464,3.713,2.1,0.185,0.185,1.66,25.733,0.8272,
6324,100,4,99.3,7.5,94.3,2.26,1e-07,0.05,25,0.60,0.45,True,176.10000000000002,4,4,0.004661629928523493,0.06827613000546745,0.40721174524282494,0.9941139486344882,3.204,0.943,0.407,0.407,1.613,24.079,0.9055,
6325,100,4,69.0,71.0,92.0,4.35,1e-07,0.05,25,0.60,0.45,True,149.9,4,4,0.027009634470523815,0.1643460813969223,0.3683826748961528,0.42403295692897897,4.116,0.23,0.389,0.389,1.776,28.593,0.9053,
6326,100,4,35.5,25.4,36.7,4.98,1e-07,0.05,60,center,center,True,88.4,4,4,0.02904308179582067,0.17042030922346277,0.15104171335838232,0.22912955195459597,5.193,0.208,0.208,0.208,1.737,27.126,0.8526,
6327,100,4,69.4,37.5,72.1,2.01,1e-07,0.05,25,0.35,0.40,False,248.10000000000002,4,4,756.635307587024,27.50700470038539,18.145848285538644,21.21337196347227,7.521,5.512,18.843,18.843,3.078,44.87,0.3785,vittima non trovata entro 15 minuti (ellisse PF non contiene la vittima o troppo larga)
6328,100,4,51.9,70.1,80.2,1.57,1e-07,0.05,25,0.60,0.58,True,131.3,4,4,0.20588847179212164,0.45374934908176084,0.6250862062548279,1.7178520443633798,3.203,1.638,0.636,0.636,1.688,26.429,0.7396,
6329,100,4,80.7,6.3,75.7,3.63,1e-07,0.05,25,0.60,0.45,True,153.0,4,4,0.01960027722798751,0.14000099009645436,2.949884114857858,3.518305170660022,5.533,1.899,2.952,2.952,1.605,23.047,0.7722,
6330,100,4,68.4,97.6,112.2,4.01,1e-07,0.05,25,0.60,0.58,True,147.70000000000002,4,4,0.05845728128126737,0.24177940623896688,0.9525076740197292,1.5490956493419075,2.507,1.498,0.955,0.955,1.723,27.215,0.8569,
6331,100,4,84.9,56.5,95.1,1.83,1e-07,0.05,25,0.60,0.45,True,163.10000000000002,4,4,0.6030330042880663,0.7765519971567044,0.16365635092514721,0.19454006480348734,1.728,0.104,0.712,0.712,1.685,26.206,0.6241,
6332,100,4,88.3,84.9,115.4,1.84,1e-07,0.05,25,0.60,0.58,True,158.5,4,4,0.014836774029023342,0.1218062971648976,0.16149822802935582,1.7951772207616303,3.656,1.814,0.184,0.184,1.684,26.066,0.8824,
6333,100,4,71.3,3.7,66.3,2.17,1e-07,0.05,25,0.60,0.58,False,141.5,4,4,461.82888191304465,21.490204324599723,4.890778879385886,17.32759400554664,19.038,16.871,17.808,17.808,1.99,36.765,0.2686,vittima non trovata entro 15 minuti (ellisse PF non contiene la vittima o troppo larga)
6334,100,3,39.1,95.9,97.0,3.8,1e-05,0.1,25,center,center,False,1045.6000000000001,3,3,80477.59373557894,283.6857305815344,485.74749700344,485.96050955753185,-3.864,7.666,538.234,538.234,4.792,100.561,0.0879,vittima non trovata entro 15 minuti (ellisse PF non contiene la vittima o troppo larga)
6335,100,4,74.6,36.6,76.4,4.47,1e-07,0.05,25,0.60,0.58,True,142.8,4,4,0.022846231734793058,0.15114969975091933,0.22414118211284056,0.8275446804096921,5.299,0.831,0.235,0.235,1.687,25.939,0.6071,
6336,100,4,13.8,78.5,74.1,3.27,1e-07,0.05,60,center,center,True,131.70000000000002,4,4,0.022490685646072837,0.14996894893968163,0.260869663952548,0.4244122580019196,3.782,0.508,0.291,0.291,1.762,27.684,0.8896,
6337,100,3,74.5,84.5,105.6,4.9,1e-05,0.1,25,0.60,0.45,False,937.3000000000001,3,3,406166.7338312388,637.3121164949234,158.28642941036577,165.22394221326627,57.009,52.107,640.442,640.442,2.922,73.423,0.0,vittima non trovata entro 15 minuti (ellisse PF non contiene la vittima o troppo larga)
6338,100,4,0.8,91.3,86.4,4.74,1e-07,0.05,60,center,center,True,143.8,4,4,0.014749608704189246,0.12144796706486793,1.1521545638995099,1.1604389878731434,3.932,0.812,1.154,1.154,1.937,33.537,0.8856,
6339,100,4,34.9,17.4,32.4,4.19,1e-07,0.05,60,0.35,0.40,True,84.80000000000001,4,4,0.01428871337585571,0.1195354063692248,0.7954848040898298,1.6152677785647116,2.54,1.652,0.8,0.8,1.745,27.875,0.8873,
6340,100,4,68.6,70.6,91.4,3.59,1e-07,0.05,60,center,center,True,139.5,4,4,0.046705720927366065,0.21611506409171496,0.11650777743556993,0.14028501371004154,3.586,0.002,0.212,0.212,1.719,27.383,0.8389,
6341,100,4,69.1,1.3,64.2,3.72,1e-07,0.05,60,center,center,True,143.20000000000002,4,4,0.014903568589173362,0.12208017279301894,0.37556777954855547,1.4489764690894629,4.853,1.137,0.381,0.381,1.854,30.386,0.8734,
6342,100,4,91.5,61.9,103.5,3.1,1e-07,0.05,25,0.60,0.58,True,178.60000000000002,4,4,0.07815709646223735,0.2795659071886938,0.6406635639172514,0.6533274840961217,3.114,0.012,0.695,0.695,1.639,25.061,0.7879,
6343,100,3,76.0,46.9,82.4,2.97,1e-05,0.1,25,center,center,False,947.4000000000001,3,3,254389.92426967353,504.37082020044886,419.1177620603693,419.6040676525576,22.83,19.861,612.536,612.536,3.179,62.02,0.0,vittima non trovata entro 15 minuti (ellisse PF non contiene la vittima o troppo larga)
6344,100,4,47.2,19.2,44.5,4.6,1e-07,0.05,60,0.35,0.40,True,111.4,4,4,0.002729693738907709,0.052246471066548686,0.6106730261459004,1.1493848125591772,3.448,1.148,0.612,0.612,1.806,29.828,0.8325,
6345,100,4,79.4,79.4,105.2,3.83,1e-07,0.05,60,center,center,True,155.3,4,4,0.17212722845591935,0.4148821862359474,0.031455061676809414,0.6636972977551736,4.499,0.668,0.361,0.361,1.689,26.398,0.7802,
6346,100,4,90.4,22.1,87.1,4.05,1e-07,0.05,60,0.35,0.40,True,150.0,4,4,0.012090130312709925,0.10995512863304706,0.10760451641616696,0.21313168192344398,4.208,0.156,0.123,0.123,1.684,25.967,0.8901,
6347,100,4,6.5,56.2,51.2,2.0,1e-07,0.05,60,0.35,0.40,True,129.8,4,4,0.029755078982337087,0.17249660571250985,0.32353705058402765,0.397225704320634,1.602,0.398,0.34,0.34,1.754,27.726,0.8628,
6348,100,4,71.7,96.0,112.8,2.27,1e-07,0.05,60,center,center,True,153.5,4,4,0.03847138792122288,0.19614124482429207,0.02143557873725407,1.0328295834422316,3.314,1.047,0.189,0.189,1.738,27.349,0.8521,
