run_id,area_size_m,n_drones,victim_x_m,victim_y_m,victim_depth_m,artva_noise_std,comm_radius_m,workspace_frac_r,workspace_frac_c,found,time_found_s,n_drones_stopped,pos_variance_m2,pos_std_m,est_error_2d_m,note
4866,200,5,142.5,95.0,1.0,1e-08,50,center,center,True,206.4,3,152.98340682222482,12.36864611920904,43.23276578189835,
4876,200,5,142.5,95.0,1.0,1e-08,120,center,center,True,188.3,3,156.44753374983668,12.507898854317485,41.32389874126265,
4880,200,5,142.5,95.0,1.0,1e-08,120,0.60,0.58,True,191.60000000000002,3,6.0937941397075654,2.4685611476541482,8.118699026224258,
4871,200,5,142.5,95.0,1.0,1e-08,80,center,center,True,211.4,3,108.44235072135382,10.413565706392495,45.20301796489994,
4884,200,5,142.5,95.0,1.0,1e-07,25,0.60,0.45,True,194.60000000000002,3,107.57053616281428,10.371621674685896,26.35290022656833,
4881,200,5,142.5,95.0,1.0,1e-07,25,center,center,True,196.4,3,117.07771159625909,10.8202454499082,27.182006680623203,
4895,200,5,142.5,95.0,1.0,1e-07,80,0.60,0.58,True,124.7,3,0.0051422956938098115,0.07170980193676323,25.60290751591248,
4893,200,5,142.5,95.0,1.0,1e-07,80,0.45,0.55,True,167.8,3,75.0653584697549,8.664026689118339,25.61943599615896,
4885,200,5,142.5,95.0,1.0,1e-07,25,0.60,0.58,True,222.5,3,8.60347105212469,2.933167409495184,30.790035753801178,
4894,200,5,142.5,95.0,1.0,1e-07,80,0.60,0.45,True,178.60000000000002,3,17.900038158792775,4.230843669859804,28.882723232168356,
4896,200,5,142.5,95.0,1.0,1e-07,120,center,center,True,136.5,3,270.2635861295357,16.439695439074768,38.20779110943017,
4897,200,5,142.5,95.0,1.0,1e-07,120,0.35,0.45,True,145.6,3,139.71738112737634,11.82021070570979,34.894792834781754,
4883,200,5,142.5,95.0,1.0,1e-07,25,0.45,0.55,True,257.90000000000003,3,80.30899383074278,8.961528543208619,14.987828031583078,
4898,200,5,142.5,95.0,1.0,1e-07,120,0.45,0.55,True,145.20000000000002,3,654.1399666472394,25.576160123193617,42.577453686653755,
4899,200,5,142.5,95.0,1.0,1e-07,120,0.60,0.45,True,139.8,3,0.005529368936916733,0.07435972657908804,28.285995792282797,
4900,200,5,142.5,95.0,1.0,1e-07,120,0.60,0.58,True,147.20000000000002,3,216.49751157032696,14.71385440903664,35.47823889656032,
4906,200,5,142.5,95.0,1.0,1e-06,50,center,center,True,138.3,3,4.834570675393392e-05,0.006953107704755761,23.18983203419896,
4913,200,5,142.5,95.0,1.0,1e-06,80,0.45,0.55,True,125.80000000000001,3,1.0230945117577562e-05,0.003198584861712686,24.394088863438135,
4907,200,5,142.5,95.0,1.0,1e-06,50,0.35,0.45,True,145.1,3,0.00011459312346148223,0.010704817768719009,25.7953844043406,
4909,200,5,142.5,95.0,1.0,1e-06,50,0.60,0.45,True,142.5,3,8.426986813268686e-05,0.009179862097694435,25.700068210521433,
4911,200,5,142.5,95.0,1.0,1e-06,80,center,center,True,143.9,3,0.00036604474532833474,0.019132295871858523,18.434052094494046,
4916,200,5,142.5,95.0,1.0,1e-06,120,center,center,True,128.6,3,1.633423486758244e-05,0.004041563418725783,23.881706757446615,
4917,200,5,142.5,95.0,1.0,1e-06,120,0.35,0.45,True,128.1,3,4.95625209951868e-05,0.007040065411286091,25.604998783675008,
4912,200,5,142.5,95.0,1.0,1e-06,80,0.35,0.45,True,144.70000000000002,3,0.001034202844915769,0.03215902431535772,22.76392089980394,
4914,200,5,142.5,95.0,1.0,1e-06,80,0.60,0.45,True,144.20000000000002,3,1.648737533712913e-05,0.004060464916377081,23.87678280908593,
4918,200,5,142.5,95.0,1.0,1e-06,120,0.45,0.55,True,130.70000000000002,3,5.548877766658324e-05,0.007449078981094457,23.937341530457154,
4915,200,5,142.5,95.0,1.0,1e-06,80,0.60,0.58,True,142.5,3,4.384525220060828e-05,0.006621574752323519,24.361389370888677,
4919,200,5,142.5,95.0,1.0,1e-06,120,0.60,0.45,True,133.0,3,2.778903253122706e-05,0.00527153037847901,25.055708899078336,
