run_id,area_size_m,n_drones,victim_x_m,victim_y_m,victim_dist_m,victim_depth_m,artva_noise_std,acc_sim_ms2,comm_radius_m,workspace_frac_r,workspace_frac_c,found,time_found_s,n_drones_stopped,pos_variance_m2,pos_std_m,est_error_2d_m,note
2847,100,5,76.5,57.7,88.8,2.01,1e-05,0.05,50,0.35,0.40,True,108.2,3,0.06864596430406274,0.262003748645058,1.4976196587964954,
2855,100,5,43.6,35.3,49.1,3.78,1e-05,0.05,80,0.60,0.58,True,70.5,3,0.06295132361939645,0.25090102355191074,0.9278070568708677,
2861,100,5,32.8,10.1,28.2,3.83,1e-05,0.1,25,center,center,True,47.300000000000004,3,0.04495270098676883,0.21202052020209938,0.7723905230612238,
2859,100,5,20.5,44.9,42.8,3.41,1e-05,0.05,120,0.60,0.45,True,55.400000000000006,3,0.01800270130133608,0.1341741454280074,2.9462327690478762,
2862,100,5,41.0,14.2,37.2,3.03,1e-05,0.1,25,0.35,0.40,True,58.800000000000004,3,0.002979197980227743,0.054582029828760883,2.4670481592994524,
2849,100,5,79.2,44.7,84.1,1.41,1e-05,0.05,50,0.60,0.45,True,115.10000000000001,3,0.05954348882837483,0.244015345477236,0.4203453384107803,
2857,100,5,64.2,64.9,84.2,3.85,1e-05,0.05,120,0.35,0.40,True,89.0,3,0.04651553660180102,0.2156746081526544,1.3629688703267848,
2858,100,5,32.6,79.9,79.8,2.95,1e-05,0.05,120,0.45,0.55,True,78.0,3,0.04370703342782542,0.2090622716508778,2.016763832906796,
2860,100,5,34.4,75.8,76.7,3.18,1e-05,0.05,120,0.60,0.58,True,71.8,3,0.04096709636863234,0.2024033012789869,1.4767762954883787,
2856,100,5,71.7,46.9,78.8,2.7,1e-05,0.05,120,center,center,True,112.2,3,0.05583031771379868,0.2362844000644111,0.9204197021473388,
2863,100,5,38.6,47.8,54.5,4.65,1e-05,0.1,25,0.45,0.55,True,79.2,3,0.06002600375451732,0.24500204847004303,1.9877205467224575,
2876,100,5,29.9,37.4,40.9,4.04,1e-05,0.1,120,center,center,True,60.6,3,0.03647537871805184,0.19098528403531997,3.002042412133112,
2874,100,5,45.8,53.8,63.6,4.54,1e-05,0.1,80,0.60,0.45,True,67.8,3,0.04836441870086244,0.2199191185433009,1.1683867702707074,
