run_id,area_size_m,n_drones,victim_x_m,victim_y_m,victim_dist_m,victim_depth_m,artva_noise_std,comm_radius_m,workspace_frac_r,workspace_frac_c,found,time_found_s,n_drones_stopped,pos_variance_m2,pos_std_m,est_error_2d_m,note,noise_detect_factor
867,100,3,33.8,27.7,,3.0,1e-08,50,0.35,0.45,True,0.2,3,6.0055270853217635e-06,0.0024506176946479767,20.299988884720378,,100.0
869,100,3,31.9,23.1,,3.0,1e-08,50,0.60,0.45,True,0.2,3,5.839421427182257e-06,0.0024164894841861525,25.26295551196063,,100.0
833,100,3,65.9,66.9,,1.0,1e-06,80,0.45,0.55,True,101.30000000000001,3,0.0008784372200192421,0.029638441592284202,9.446151702312369,,100.0
870,100,3,34.1,17.8,,3.0,1e-08,50,0.60,0.58,True,0.2,3,5.995633793217613e-06,0.00244859833235621,28.991859360467192,,100.0
839,100,3,14.2,29.8,,1.0,1e-06,120,0.60,0.45,True,67.2,3,nan,nan,6.590720912112087,,100.0
840,100,3,62.8,58.0,,1.0,1e-06,120,0.60,0.58,True,94.10000000000001,3,0.004269740941265154,0.06534325474955432,4.401601343788885,,100.0
876,100,3,16.1,32.7,,3.0,1e-08,120,center,center,True,0.2,3,6.00358106662145e-06,0.0024502206159081777,31.100846656106707,,100.0
590,100,3,63.3,71.1,,3.0,1e-06,50,0.60,0.58,False,900.0,2,0.003953274686870976,0.06287507206255095,9.64173173898981,vittima non trovata entro 15 minuti,100.0
875,100,3,17.1,51.7,,3.0,1e-08,80,0.60,0.58,True,58.5,3,5.995633793217613e-06,0.00244859833235621,28.563456190620634,,100.0
865,100,3,74.8,25.2,,3.0,1e-08,25,0.60,0.58,True,84.2,3,4.428770333315106e-06,0.002104464381574349,35.26593156637505,,100.0
862,100,3,17.8,80.0,,3.0,1e-08,25,0.35,0.45,True,106.30000000000001,3,4.652837092706317e-23,6.821170788586309e-12,44.96099772232694,,100.0
873,100,3,18.5,73.1,,3.0,1e-08,80,0.45,0.55,True,92.4,3,1.1302546614516986e-24,1.0631343571965392e-12,39.528331167558825,,100.0
864,100,3,59.4,54.6,,3.0,1e-08,25,0.60,0.45,True,108.0,3,1.0097419586828951e-28,1.0048591735576161e-14,4.434682825409739,,100.0
872,100,3,48.5,69.6,,3.0,1e-08,80,0.35,0.45,True,102.60000000000001,3,1.669042559705207e-13,4.0853917311626395e-07,14.087162098580665,,100.0
878,100,3,18.6,56.8,,3.0,1e-08,120,0.45,0.55,True,64.4,3,0.0,0.0,28.92332770506171,,100.0
880,100,3,58.3,27.8,,3.0,1e-08,120,0.60,0.58,True,55.300000000000004,3,1.0097419586828951e-28,1.0048591735576161e-14,21.7605793535885,,100.0
877,100,3,37.0,56.1,,3.0,1e-08,120,0.35,0.45,True,76.9,3,2.4288655083755443e-06,0.0015584817959718182,13.244210756154065,,100.0
868,100,3,39.8,78.0,,3.0,1e-08,50,0.45,0.55,True,114.7,3,2.2611577983824288e-10,1.5037146665449629e-05,26.69164434926531,,100.0
874,100,3,39.5,76.6,,3.0,1e-08,80,0.60,0.45,True,116.2,3,3.592015824147767e-07,0.00059933428269604,26.2604694912743,,100.0
871,100,3,60.7,71.0,,3.0,1e-08,80,center,center,True,136.8,3,0.004912315717732726,0.07008791420589378,6.300108648792176,,100.0
