run_id,area_size_m,n_drones,victim_x_m,victim_y_m,victim_depth_m,artva_noise_std,noise_detect_factor,comm_radius_m,workspace_frac_r,workspace_frac_c,found,time_found_s,n_drones_stopped,pos_variance_m2,pos_std_m,est_error_2d_m,note
3504,200,4,132.2,29.8,5.0,1e-08,100.0,25,0.60,0.45,True,118.60000000000001,3,0.0,0.0,75.0925073552817,
3461,200,4,132.2,29.8,3.0,1e-06,100.0,25,center,center,False,900.0,2,211.26958637280944,14.53511562983967,10.754864496590338,vittima non trovata entro 15 minuti
3506,200,4,132.2,29.8,5.0,1e-08,100.0,50,center,center,True,119.5,3,0.0,0.0,75.0925073552817,
3462,200,4,132.2,29.8,3.0,1e-06,100.0,25,0.35,0.45,False,900.0,1,875.5491563280013,29.58967989566635,26.666252176528353,vittima non trovata entro 15 minuti
3501,200,4,132.2,29.8,5.0,1e-08,100.0,25,center,center,True,183.8,3,0.0204938635315705,0.14315677955154796,74.91147256982654,
3464,200,4,132.2,29.8,3.0,1e-06,100.0,25,0.60,0.45,False,900.0,2,247.24379743699518,15.72398796225039,12.829783167175208,vittima non trovata entro 15 minuti
3509,200,4,132.2,29.8,5.0,1e-08,100.0,50,0.60,0.45,True,119.0,3,0.0,0.0,75.0925073552817,
3500,200,4,132.2,29.8,5.0,1e-08,50.0,120,0.60,0.58,True,205.10000000000002,3,1.250651529639263,1.1183253237047184,70.90708613798812,
3507,200,4,132.2,29.8,5.0,1e-08,100.0,50,0.35,0.45,True,132.8,3,2.5402356188204447e-07,0.0005040075018112771,66.92918111119187,
3508,200,4,132.2,29.8,5.0,1e-08,100.0,50,0.45,0.55,True,132.1,3,3.6179528960166225e-07,0.0006014942141048925,65.34432465684951,
3463,200,4,132.2,29.8,3.0,1e-06,100.0,25,0.45,0.55,False,900.0,2,230.8908739908758,15.195093747353972,12.9655299611079,vittima non trovata entro 15 minuti
3465,200,4,132.2,29.8,3.0,1e-06,100.0,25,0.60,0.58,False,900.0,1,38.803068862906116,6.229210934211983,4.374901380325319,vittima non trovata entro 15 minuti
3510,200,4,132.2,29.8,5.0,1e-08,100.0,50,0.60,0.58,True,119.2,3,4.0389678347315804e-28,2.0097183471152322e-14,73.7606408509687,
3466,200,4,132.2,29.8,3.0,1e-06,100.0,50,center,center,False,900.0,2,135.14269839940806,11.62508917812711,11.24164076585905,vittima non trovata entro 15 minuti
